Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Year,Profit,ROI,Decade
4688,2013-04-10,Grace Unplugged,1700000,2507159,2507159,2013,807159,47.47994117647059,2010
2266,2013-04-12,Out of the Furnace,22000000,15434375,11330849,2013,-6565625,-29.843750000000004,2010
1432,2013-04-16,Un monstre à Paris ,40000000,27000381,0,2013,-12999619,-32.4990475,2010
5071,2013-04-17,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,500000,152449,152449,2013,-347551,-69.5102,2010
262,2013-04-19,Oblivion,120000000,287916633,89107235,2013,167916633,139.93052749999998,2010
4726,2013-04-19,The Lords of Salem,1500000,1541131,1165881,2013,41131,2.7420666666666667,2010
4787,2013-04-19,Filly Brown,1250000,2940411,2850357,2013,1690411,135.23288,2010
4801,2013-04-19,Home Run,1200000,2859955,2859955,2013,1659955,138.32958333333335,2010
1660,2013-04-26,The Big Wedding,32500000,48425971,21819348,2013,15925971,49.00298769230769,2010
1979,2013-04-26,Pain & Gain,26000000,81275291,49875291,2013,55275291,212.5972730769231,2010
2928,2013-04-26,The Reluctant Fundamentalist,15000000,528731,528731,2013,-14471269,-96.47512666666667,2010
3354,2013-04-26,Mud,10000000,31556959,21590086,2013,21556959,215.56959,2010
2676,2013-05-04,Evil Dead,17000000,97778356,54239856,2013,80778356,475.16679999999997,2010
2767,2013-05-04,Trance,16000000,22594052,2322593,2013,6594052,41.212824999999995,2010
4761,2013-05-04,Eddie: The Sleepwalking Cannibal,1400000,1632,1632,2013,-1398368,-99.88342857142857,2010
4966,2013-05-04,The Brass Teapot,900000,413733,6997,2013,-486267,-54.029666666666664,2010
3984,2013-05-07,The Way Way Back,5000000,26853810,21502690,2013,21853810,437.07620000000003,2010
60,2013-05-16,Star Trek Into Darkness,190000000,467381584,228778661,2013,277381584,145.99030736842104,2010
4301,2013-05-17,Jagten,3450000,18309793,687185,2013,14859793,430.7186376811594,2010
4377,2013-05-17,Frances Ha,3000000,11267511,4067398,2013,8267511,275.5837,2010
4418,2013-05-21,Open Road,3000000,47469,0,2013,-2952531,-98.4177,2010
320,2013-05-23,The Hangover 3,103000000,362000072,112200072,2013,259000072,251.45638058252428,2010
119,2013-05-24,Fast and Furious 6,160000000,789300444,238679850,2013,629300444,393.3127775,2010
339,2013-05-24,Epic,100000000,262794441,107518682,2013,162794441,162.794441,2010
4363,2013-05-24,Before Midnight,3000000,23283672,8110621,2013,20283672,676.1224000000001,2010
224,2013-05-31,After Earth,130000000,251499665,60522097,2013,121499665,93.46128076923077,2010
586,2013-05-31,Now You See Me,75000000,342769200,117723989,2013,267769200,357.0256,2010
3588,2013-05-31,Yeh Jawaani Hai Deewani,8300000,50827466,3827466,2013,42527466,512.3791084337349,2010
3814,2013-05-31,The East,6500000,3027956,2274649,2013,-3472044,-53.416061538461534,2010
1456,2013-06-09,Riddick,38000000,94763758,42025135,2013,56763758,149.37831052631577,2010
2936,2013-06-09,Winnie Mandela,15000000,61847,61847,2013,-14938153,-99.58768666666667,2010
2940,2013-06-12,Khumba,15000000,20898221,0,2013,5898221,39.32147333333334,2010
3266,2013-06-12,Inside Llewyn Davis,11000000,32943247,13248209,2013,21943247,199.48406363636363,2010
